"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","好友模块","6","0","发送好友请求","0"
"0","","0","用户模块","5","0","登录","0"
"0","","0","消息模块","5","0","WebSocket 发送","0"
"0","","0","好友模块","2","0","好友列表","0"
"0","","0","用户模块","6","0","注册","0"
"0","","0","会话模块","7","0","创建会话","0"
"0","","0","消息模块","5","0","历史消息","0"
"0","","0","用户模块","2","0","用户信息","0"
"0","","0","好友模块","4","0","接受/拒绝请求","0"
"0","","0","好友模块","3","0","搜索用户","0"
"0","","0","好友模块","1","0","待处理请求","0"
"0","","0","会话模块","2","0","会话列表","0"
