"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"已有待处理请求时重复发送 → code=1003","18","test_send_duplicate","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"正常发送 → code=0，接收方待处理列表出现该请求","36","test_send_success","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestSendFriendRequest","test_friend","",""
"正确用户名密码 → code=0，密码返回脱敏","32","test_login_success","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestLogin","test_user","",""
"content 超 2048 → 收到 error，连接不断、还能正常收发（BUG-005 回归）","52","test_oversize_content","chatroom_test","Mon Sep 14 15:35:35 CST 2026","passed","Mon Sep 14 15:35:35 CST 2026","TestWebSocketSend","test_websocket","",""
"用户不存在 → code=1002","3","test_login_not_exist_user","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestLogin","test_user","",""
"未登录 → code=401","19","test_friend_list_not_login","chatroom_test","Mon Sep 14 15:35:29 CST 2026","passed","Mon Sep 14 15:35:29 CST 2026","TestFriendList","test_friend","",""
"重复用户名注册 → code=1001 用户名已存在","38","test_register_duplicate_username","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestRegister","test_user","",""
"好友间建会话 → code=0，返回 sessionId>0，双方会话列表都出现该会话","48","test_create_success","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestCreateSession","test_session","",""
"不存在的会话 → code=1003","6","test_not_exist_session","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:30 CST 2026","TestGetMessage","test_message","",""
"未登录 → code=401","4","test_userinfo_not_login","chatroom_test","Mon Sep 14 15:35:30 CST 2026","passed","Mon Sep 14 15:35:31 CST 2026","TestUserInfo","test_user","",""
